f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__criterion
0.5677954871333684,0.6748159831756047,0.1974772143542043,0.8311356182111501,276,25.0,44,38,0.04091113138269303,51.0,entropy
0.5100599978159196,0.6483701366982124,0.22441437395779526,0.7662778169216277,793,21.0,8,60,0.40861869555217034,18.0,entropy
0.5100599978159196,0.6483701366982124,0.21077229605893785,0.8053158432587566,827,17.0,41,50,0.13558265046342854,55.0,gini
0.5100599978159196,0.6483701366982124,0.22686831491754092,0.7392675501321493,276,25.0,29,53,0.4632787324110585,47.0,entropy
0.5100599978159196,0.6483701366982124,0.22542705663997206,0.7590157833725463,517,25.0,2,56,0.42908081863395287,35.0,gini
0.5100599978159196,0.6483701366982124,0.215549040901966,0.7952191630150369,242,27.0,56,47,0.21592575799987135,,entropy
0.538671682367558,0.6610935856992639,0.19886268574281718,0.8299534984643367,724,5.0,53,10,0.0505135346473341,35.0,entropy
0.5100599978159196,0.6483701366982124,0.21583018467362716,0.7947439665661515,586,5.0,53,25,0.2256725167570569,,gini
0.5100599978159196,0.6483701366982124,0.22738938633609027,0.5185697327100149,1,19.0,23,41,0.2952649999037695,47.0,gini
0.5100599978159196,0.6483701366982124,0.2027469128845548,0.8245162350410571,931,30.0,23,4,0.06746869315987625,43.0,entropy
0.5100599978159196,0.6483701366982124,0.22573924049680744,0.7479141916156977,793,15.0,47,22,0.45196457902455217,26.0,gini
0.5931345748531173,0.664931650893796,0.21871039931668654,0.6036154262571254,1,15.0,11,16,0.14601203126669743,2.0,entropy
0.5100599978159196,0.6483701366982124,0.22528022776657017,0.7550047761532218,552,7.0,29,44,0.43739014881428834,14.0,entropy
0.5100599978159196,0.6483701366982124,0.2067414800438019,0.8129709043128158,483,,14,28,0.09070196878712294,26.0,gini
0.5100599978159196,0.6483701366982124,0.20723088672555798,0.813343877600113,483,21.0,44,32,0.09190730322447138,14.0,gini
0.5100599978159196,0.6483701366982124,0.22301781991039107,0.7609374721132403,242,25.0,20,56,0.39144410396523827,6.0,gini
0.5100599978159196,0.6483701366982124,0.2176304919652869,0.7852035241201557,552,11.0,41,1,0.25082086196115627,47.0,gini
0.5100599978159196,0.6483701366982124,0.2249165835931561,0.7657709932497552,586,30.0,50,22,0.4206292169580328,47.0,gini
0.5100599978159196,0.6483701366982124,0.22226581221641528,0.7785666450394741,552,,29,38,0.35687175463921894,,entropy
0.5100599978159196,0.6483701366982124,0.2080244782146482,0.8108731531205237,345,11.0,35,4,0.09145347712161472,51.0,gini
0.5100599978159196,0.6483701366982124,0.22554650547001523,0.7505265444609038,896,27.0,14,60,0.44368979030727695,43.0,gini
0.5100599978159196,0.6483701366982124,0.2272018427741719,0.7308079621209533,173,3.0,23,35,0.4675715712719201,51.0,entropy
0.5100599978159196,0.6483701366982124,0.2174824489237096,0.7936568315480633,586,30.0,17,25,0.23699573333118712,6.0,entropy
0.5100599978159196,0.6483701366982124,0.2127671946826422,0.7937187401547614,138,1.0,5,32,0.1192811189646204,60.0,gini
0.5100599978159196,0.6483701366982124,0.22544482205152433,0.7539056195167355,448,23.0,29,16,0.42566939065703036,26.0,entropy
0.5100599978159196,0.6483701366982124,0.22035797880094116,0.7814020859005318,379,27.0,29,44,0.31330536419932686,35.0,gini
0.5100599978159196,0.6483701366982124,0.22348555335559522,0.7749319938926542,689,9.0,32,44,0.38012944047397546,31.0,entropy
0.5100599978159196,0.6483701366982124,0.21917182288947798,0.7906310453645319,311,23.0,23,35,0.26190400427145694,10.0,entropy
0.5100599978159196,0.6483701366982124,0.20593889224400852,0.8170979143904604,414,23.0,47,10,0.09040393362274984,43.0,gini
0.5100599978159196,0.6483701366982124,0.2210962252224966,0.7752477326366849,586,25.0,20,44,0.34179592145578214,60.0,gini
0.5100599978159196,0.6483701366982124,0.2227820283917565,0.7756860579392781,896,19.0,8,19,0.3609657316524691,47.0,gini
0.5100599978159196,0.6483701366982124,0.21783236069541598,0.7853496871154052,173,1.0,2,1,0.22144124186317593,35.0,gini
0.5100599978159196,0.6483701366982124,0.21857971091099151,0.7835744038635238,517,21.0,56,4,0.27296635792094276,2.0,entropy
0.5100599978159196,0.6483701366982124,0.22332551164189807,0.7699302852830074,242,13.0,29,10,0.37830298302152077,39.0,gini
0.538213790617226,0.6608832807570978,0.19949247701364045,0.8295514441364669,448,19.0,38,56,0.05042559162444016,6.0,gini
0.5100599978159196,0.6483701366982124,0.22438678174781188,0.7657498841850742,758,5.0,8,38,0.4053761976595288,22.0,entropy
0.5100599978159196,0.6483701366982124,0.22413688465981255,0.7379344720798732,35,15.0,26,4,0.37003120838736286,2.0,entropy
0.5100599978159196,0.6483701366982124,0.21711449268272312,0.7916581571633763,276,7.0,20,4,0.2283396697565479,60.0,entropy
0.5100599978159196,0.6483701366982124,0.22101082743489162,0.7757787511038308,311,3.0,35,53,0.3166167756106011,31.0,entropy
0.5100599978159196,0.6483701366982124,0.21390385481176533,0.7776779121924987,35,1.0,5,60,0.24120756793938408,43.0,entropy
0.5100599978159196,0.6483701366982124,0.21308453985760617,0.8018353877064687,621,13.0,32,22,0.16766482806038047,39.0,gini
0.5100599978159196,0.6483701366982124,0.2174977029019737,0.793161805188043,138,27.0,35,50,0.2423892290962154,22.0,entropy
0.7308435004892188,0.7628286014721346,0.1684698057632237,0.8541066454682028,379,15.0,32,19,0.0022469832928854183,10.0,gini
0.519082061774115,0.6523133543638275,0.20875681488667364,0.8237354118297284,414,21.0,50,1,0.01681864557127588,2.0,entropy
0.5100599978159196,0.6483701366982124,0.22346360760992284,0.7677143306033085,483,30.0,41,19,0.3956787288575534,43.0,gini
0.5100599978159196,0.6483701366982124,0.2263152321311255,0.6913076339301649,69,30.0,32,4,0.46763345536812034,14.0,entropy
0.5100599978159196,0.6483701366982124,0.22639371081866722,0.7410221244337291,276,27.0,17,60,0.4570987294191973,10.0,entropy
0.5100599978159196,0.6483701366982124,0.20976694839602267,0.8070280842465318,552,19.0,14,38,0.11776026670465689,,entropy
0.5100599978159196,0.6483701366982124,0.22794724652891454,0.505598188214192,379,11.0,29,25,0.4985067236567019,43.0,gini
0.5100599978159196,0.6483701366982124,0.21825652227849857,0.7889888971412142,931,21.0,32,7,0.271130048411417,22.0,gini
0.5100599978159196,0.6483701366982124,0.20950351602917705,0.8087450962951639,793,25.0,23,32,0.11471230828398221,26.0,entropy
0.5100599978159196,0.6483701366982124,0.21818241494953688,0.7767279254714463,69,19.0,47,13,0.24201851432197247,39.0,entropy
0.5100599978159196,0.6483701366982124,0.22447161905628615,0.7681294674589156,586,21.0,47,38,0.40849945827606454,,entropy
0.5245334973359914,0.6547318611987382,0.2010435803860532,0.827887865544497,896,3.0,29,13,0.05255946058035915,6.0,gini
0.5100599978159196,0.6483701366982124,0.21863030172485143,0.7876753519454579,483,27.0,41,38,0.2686388086349047,43.0,entropy
0.5100599978159196,0.6483701366982124,0.22483423822666085,0.7480734371386846,138,1.0,20,56,0.41482629058236276,51.0,entropy
0.5100599978159196,0.6483701366982124,0.21391602532055207,0.7977907102558869,1000,3.0,47,50,0.1797272983719464,51.0,gini
0.5100599978159196,0.6483701366982124,0.22480806419518748,0.7577911605664339,724,7.0,41,35,0.41617435528515834,55.0,entropy
0.5100599978159196,0.6483701366982124,0.22021799578086185,0.7848968061366779,586,21.0,38,1,0.29783403470206393,35.0,entropy
0.5100599978159196,0.6483701366982124,0.22151963462545946,0.7755950864790244,689,30.0,2,4,0.34352862793843936,2.0,gini
0.5100599978159196,0.6483701366982124,0.2233165639981045,0.7566393707020441,104,5.0,35,25,0.3791024324735404,,entropy
