f1_mean,accuracy_mean,brier_score_mean,roc_auc_mean,model__kernel,model__C,model__gamma,model__degree
0.5164194489883126,0.5615439165231486,0.2544918251377055,0.6592907550322876,sigmoid,0.5,0.0625,5
0.580746402903501,0.5827170499442812,0.2431564793473226,0.5774358771921168,rbf,4.0,4.0,2
0.48858374848977315,0.49680883395805897,0.25499444350958783,0.49748566550543283,linear,256.0,0.0078125,3
0.3786278532006223,0.5032924729004153,0.2799256269194035,0.6171816146743117,poly,0.0078125,4.0,2
0.3572201827214665,0.48981866072333097,0.2696708865290516,0.523785762220095,rbf,32.0,0.0625,5
0.45558438392051176,0.4911356498834971,0.2506729607199606,0.5164220427189321,linear,32.0,0.0078125,4
0.4735653423120301,0.5201094114071523,0.24906049973697225,0.5266536068976635,poly,0.0625,256.0,3
0.48707454228000463,0.5462465808935265,0.2904775935985223,0.6271612355133608,linear,0.0009765625,0.0078125,4
0.5379574220833604,0.579779151048526,0.26385219153186806,0.6970596193258265,rbf,0.5,0.0009765625,5
0.5286942124918484,0.5729915915307466,0.25877819060780827,0.6220634846226977,sigmoid,0.5,0.0009765625,2
0.47936517272877527,0.5480701043460642,0.2808327323162105,0.5389240740557985,sigmoid,32.0,0.0625,4
0.5103319733358598,0.5602269273629825,0.26193544191889223,0.6506397888725504,linear,0.0009765625,0.0078125,2
0.3132027419617166,0.480599736602168,0.24980965045598577,0.48587791171990913,sigmoid,4.0,32.0,5
0.6063398840188904,0.616958768108601,0.23764397440673707,0.6443907551967683,rbf,0.0078125,4.0,5
0.42512169142279704,0.4992401985614426,0.26528029314644025,0.46880999434186327,sigmoid,0.0009765625,0.5,4
0.31145992604232453,0.4798905885928477,0.26594369805952683,0.5437919220229812,poly,0.0625,0.5,5
0.5108432721426013,0.5210211731334211,0.25052718730436424,0.4863953886185922,rbf,32.0,0.5,2
0.5385660581453069,0.5728902846722723,0.25977934443217116,0.7112429561132548,sigmoid,0.0009765625,0.0625,4
0.43414211087667803,0.4829297943470773,0.24988006776902694,0.49979409070124703,rbf,0.0009765625,256.0,5
0.5500564808709631,0.5714719886536318,0.25243585212250125,0.5519332652383161,linear,32.0,256.0,5
0.481923373503147,0.535913281329146,0.258777017995721,0.6594862609256316,sigmoid,0.0009765625,0.0078125,4
0.4540265883291232,0.5134231587478473,0.25544878215665245,0.4625088408385885,sigmoid,32.0,0.5,2
0.4719898442453732,0.5114983284368352,0.2524744539315967,0.48413591699645053,poly,0.0625,4.0,3
0.4980802326265548,0.5586060176273934,0.2713549141793575,0.654350987871192,linear,0.0009765625,32.0,3
0.39262209943658993,0.5049133826360045,0.2512633611857724,0.5247477276988819,poly,0.0625,4.0,2
0.5279695367716997,0.5691419309087226,0.2789835548656896,0.641477390480514,sigmoid,0.0009765625,0.0078125,2
0.3127563730250492,0.48039712288521935,0.2497000098538733,0.4830143846611862,sigmoid,0.0009765625,32.0,3
0.38955059361203803,0.48100496403606524,0.2771021279093079,0.4686518255714882,sigmoid,256.0,0.5,5
0.5112413979032413,0.5434099888562456,0.24789781260996185,0.5436040028027515,poly,0.5,4.0,3
0.5410365254683561,0.5591125519197649,0.24822937039105178,0.5522336481494274,rbf,256.0,4.0,4
0.528536571239803,0.5533380609867288,0.268915685116963,0.6627115016431624,linear,0.0625,32.0,4
0.423725148296595,0.5102826461351434,0.26700578862175534,0.617601246105919,sigmoid,256.0,0.0078125,5
0.48824465969196656,0.5485766386384359,0.2706770174455476,0.6522363209610937,sigmoid,0.0625,0.0625,5
0.5172024030892929,0.5640765879850066,0.2710569370057601,0.6052484974686418,sigmoid,0.0009765625,0.0625,5
0.5881111979883366,0.5943673386688278,0.25031075150935095,0.5007636428531483,linear,256.0,256.0,5
0.4966819019969388,0.5306453246884814,0.25817525803122054,0.4768756147466833,poly,0.5,256.0,3
0.5217390280071981,0.5644818154189039,0.2537801269715755,0.6698011140279025,linear,0.5,256.0,4
0.495196592933267,0.5202107182656266,0.2465708578418572,0.5641729950622888,linear,256.0,0.0625,5
0.3260405154299387,0.485057238375038,0.27582347674899277,0.5716664281696258,linear,4.0,0.0009765625,3
0.3112361327873965,0.4797892817343734,0.24964459561577926,0.48916041228736756,sigmoid,0.0009765625,256.0,2
0.31253307520856155,0.48029581602674504,0.24974425885198004,0.486966177829973,sigmoid,0.0078125,32.0,4
0.502706886590231,0.5618478370985716,0.27612107365598065,0.650123134377457,linear,0.0009765625,0.0625,2
0.41210149573224797,0.5159558302097051,0.2828453301654628,0.6022262465171209,rbf,0.0625,0.0625,5
0.31302435650213034,0.480599736602168,0.24983391496830393,0.48955510433011934,sigmoid,4.0,32.0,3
0.4793754001122302,0.5427008408469254,0.27526262730058376,0.6593946040455677,sigmoid,4.0,0.0078125,3
0.4967244993872852,0.5213250937088441,0.2442036238100275,0.6005466311059355,sigmoid,32.0,0.0625,5
0.5068370279684268,0.5662040320129673,0.27323751171373156,0.6096405438390458,rbf,32.0,0.0009765625,5
0.5700114351720066,0.5843379596798703,0.24523917061882688,0.5719422212134071,rbf,32.0,4.0,3
0.5488353080862179,0.5876810860095228,0.2601592636903525,0.6245355270126682,linear,0.5,0.0625,4
0.44487324349853874,0.5221355485766387,0.2748671591560955,0.665448111267916,rbf,0.0078125,0.5,5
0.4522155835748277,0.5257825954817141,0.26895179699478045,0.6271876757887673,linear,0.0078125,0.5,4
0.3565968259936119,0.49225002532671464,0.26984454005973596,0.5511285844460454,rbf,32.0,0.0625,2
0.4600383644110287,0.5319623138486476,0.26347157300102536,0.6971955009589226,sigmoid,0.0625,0.0009765625,2
0.5494941624851062,0.5676223280316077,0.25490253605971697,0.5265294239556297,sigmoid,256.0,0.0625,3
0.39925426126245317,0.5320636207071219,0.24962213092368052,0.505514956231681,rbf,32.0,256.0,3
0.45770875358756447,0.49498531050552125,0.2557549350125464,0.4910846105261081,linear,32.0,32.0,2
0.5313484149085226,0.5358119744706716,0.2551051149845985,0.4448934082707484,rbf,256.0,0.5,2
0.4629409791695292,0.5317597001316989,0.26250250920157575,0.5954606611466938,rbf,32.0,0.0078125,2
0.3274275573834406,0.4840441697902948,0.2496077518939046,0.5296302555701395,poly,0.0078125,0.0078125,4
0.3886141565010856,0.4926552527606119,0.2531941715424939,0.5211429888449177,rbf,256.0,0.0078125,4
0.5475163297844009,0.5662040320129673,0.2507855619574233,0.5466649478431643,sigmoid,256.0,0.0625,4
0.4910045827748479,0.5458413534596293,0.2654042237191337,0.6209060749308358,linear,0.5,0.0009765625,3
0.49068706244133997,0.544524364299463,0.27914284424096514,0.6604056464585657,linear,0.0625,4.0,2
0.3132027419617166,0.480599736602168,0.2496943897647857,0.49039566247898764,sigmoid,0.0625,32.0,4
0.3127563730250492,0.48039712288521935,0.24993500418852924,0.4898001189195591,sigmoid,256.0,32.0,4
0.529423814460157,0.5548576638638436,0.26114122005471063,0.47799708540167835,linear,32.0,0.0078125,5
0.38794101151058696,0.49458008307162393,0.25524341695316316,0.5424993297410745,linear,4.0,4.0,4
0.3175899864292365,0.48171411204538545,0.24961620730922895,0.5173862286874109,poly,32.0,0.0009765625,5
0.4704481067055832,0.5446256711579374,0.2622309782415644,0.6468444168665107,sigmoid,0.0009765625,0.0009765625,3
0.5210446198527751,0.5701549994934657,0.2683084844252918,0.6794416784270381,sigmoid,32.0,0.0009765625,5
0.5818064947694067,0.6041941039408368,0.2680992434558702,0.6603026404089648,sigmoid,0.0625,0.0009765625,4
0.31480463669897435,0.48100496403606524,0.2684935541422344,0.5165442930125301,poly,0.5,0.5,3
0.5125595997675901,0.5191976496808834,0.25699184942684766,0.5557140395806399,rbf,0.0009765625,32.0,4
0.45780352651773254,0.5214264005673184,0.27518921864608925,0.6488667689736732,rbf,0.0009765625,0.5,4
0.5165648007947157,0.5438152162901428,0.25001792054628813,0.5333149731731949,poly,0.0009765625,256.0,5
0.48114775061217163,0.49731536825043055,0.2463262454834048,0.5591675589745615,linear,256.0,0.0625,3
0.5046111659890948,0.531455779556276,0.24836075743785424,0.532913064538944,poly,256.0,4.0,3
0.5126228527600092,0.5419916928376051,0.2482207364411168,0.51429658176172,poly,256.0,256.0,3
0.357651446488218,0.49508661736399556,0.25257922580779796,0.4885023454950376,rbf,256.0,0.0078125,3
0.47001292555916857,0.5334819167257623,0.28432774317682763,0.6601543404816653,linear,0.0078125,0.0009765625,4
